SORT_ORDER,ORG_NAME,ORG_CODE,FY_CODE,AMAO_PRGS_ACHIEVED,AMAO_ATTN_ACHIEVED,CUMULATIVE_PPI
2,Taunton,02930000,2008,Yes,Yes,
2,"UP Academy Charter School of Boston (District)",04800000,2013,Yes,No,Yes
2,Waltham,03080000,2010,Yes,Yes,
2,Waltham,03080000,2012,Yes,No,No
2,Waltham,03080000,2013,No,No,No
2,Waltham,03080000,2009,Yes,Yes,
2,Waltham,03080000,2011,No,No,
2,Waltham,03080000,2007,Yes,Yes,
2,Waltham,03080000,2005,Yes,No,
2,Waltham,03080000,2006,Yes,Yes,
2,Waltham,03080000,2008,Yes,Yes,
2,Watertown,03140000,2012,Yes,Yes,No
2,Watertown,03140000,2013,Yes,Yes,No
2,Watertown,03140000,2010,Yes,Yes,
2,Watertown,03140000,2007,Yes,Yes,
2,Watertown,03140000,2009,Yes,Yes,
2,Watertown,03140000,2011,Yes,Yes,
2,Watertown,03140000,2006,Yes,Yes,
2,Watertown,03140000,2008,Yes,Yes,
2,Watertown,03140000,2005,Yes,Yes,
2,"West Springfield",03320000,2010,Yes,No,
2,"West Springfield",03320000,2013,Yes,No,No
2,"West Springfield",03320000,2012,Yes,Yes,No
2,"West Springfield",03320000,2008,Yes,Yes,
2,"West Springfield",03320000,2009,Yes,Yes,
2,"West Springfield",03320000,2011,Yes,No,
2,"West Springfield",03320000,2005,Yes,No,
2,"West Springfield",03320000,2006,Yes,Yes,
2,"West Springfield",03320000,2007,Yes,Yes,
2,Westborough,03210000,2010,Yes,Yes,
2,Westborough,03210000,2013,Yes,Yes,Yes
2,Westborough,03210000,2012,Yes,Yes,Yes
2,Westborough,03210000,2009,Yes,Yes,
2,Westborough,03210000,2008,Yes,Yes,
2,Westborough,03210000,2006,Yes,Yes,
2,Westborough,03210000,2005,Yes,Yes,
2,Westborough,03210000,2007,Yes,Yes,
2,Westborough,03210000,2011,Yes,Yes,
2,Westfield,03250000,2013,No,No,No
2,Westfield,03250000,2012,Yes,Yes,No
2,Westfield,03250000,2010,Yes,No,
2,Westfield,03250000,2006,Yes,No,
2,Westfield,03250000,2008,Yes,Yes,
2,Westfield,03250000,2009,Yes,Yes,
2,Westfield,03250000,2007,Yes,Yes,
2,Westfield,03250000,2011,Yes,No,
2,Westfield,03250000,2005,Yes,No,
2,Weymouth,03360000,2013,No,Yes,No
2,Weymouth,03360000,2012,Yes,Yes,No
2,Weymouth,03360000,2010,Yes,Yes,
2,Weymouth,03360000,2011,Yes,Yes,
2,Winchester,03440000,2012,Yes,Yes,Yes
2,Winchester,03440000,2013,Yes,Yes,Yes
2,Winchester,03440000,2011,Yes,Yes,
2,Woburn,03470000,2013,Yes,Yes,No
2,Woburn,03470000,2012,Yes,Yes,No
2,Woburn,03470000,2010,Yes,Yes,
2,Woburn,03470000,2005,Yes,Yes,
2,Woburn,03470000,2007,Yes,Yes,
2,Woburn,03470000,2011,Yes,Yes,
2,Woburn,03470000,2006,Yes,Yes,
2,Woburn,03470000,2009,Yes,Yes,
2,Woburn,03470000,2008,Yes,Yes,
2,Worcester,03480000,2012,No,Yes,No
2,Worcester,03480000,2010,Yes,Yes,
2,Worcester,03480000,2013,No,Yes,No
2,Worcester,03480000,2009,Yes,Yes,
2,Worcester,03480000,2005,No,No,
2,Worcester,03480000,2006,Yes,Yes,
2,Worcester,03480000,2008,No,Yes,
2,Worcester,03480000,2011,No,Yes,
2,Worcester,03480000,2007,No,No,
1,"State Total",00000000,2011,No,Yes,
1,"State Totals",00000000,2005,Yes,Yes,
1,"State Totals",00000000,2007,Yes,Yes,
1,"State Totals",00000000,2006,Yes,Yes,
1,"State Totals",00000000,2013,No,Yes,No
1,"State Total",00000000,2012,Yes,Yes,No
1,"State Totals",00000000,2010,Yes,Yes,
1,"State Totals",00000000,2009,Yes,Yes,
1,"State Totals",00000000,2008,Yes,Yes,
