SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2011,BOSTON,00350000,56313.3,9006.4,65319.7
2011,BOURNE,00360000,2283.3,98.7,2382
2011,BOXBOROUGH,00370000,486.3,8.7,495
2011,BOXFORD,00380000,883.5,10.8,894.3
2011,BOYLSTON,00390000,364.1,31.5,395.6
2011,BRAINTREE,00400000,5544.8,109,5653.8
2011,BREWSTER,00410000,481.5,19.4,500.9
2011,"BRIDGEWATER RAYNHAM",06250000,5653.5,152.8,5806.3
2011,BRIMFIELD,00430000,353.9,1.8,355.7
2011,"BRISTOL COUNTY",09100000,446.6,0,446.6
2011,"BRISTOL PLYMOUTH",08100000,1231.9,2,1233.9
2011,BROCKTON,00440000,15802.2,600.6,16402.8
2011,BROOKFIELD,00450000,320,17.6,337.6
2011,BROOKLINE,00460000,6681.3,83.9,6765.2
2011,BURLINGTON,00480000,3671.7,92.5,3764.2
2011,CAMBRIDGE,00490000,5973.2,537.8,6511
2011,CANTON,00500000,3123.7,58.8,3182.5
2011,"CAPE COD",08150000,684.9,0,684.9
2011,CARLISLE,00510000,677.7,10.4,688.1
2011,CARVER,00520000,1869.3,54.9,1924.2
2011,"CENTRAL BERKSHIRE",06350000,1934,166.6,2100.6
2011,CHATHAM,00550000,696.6,64.1,760.7
2011,CHELMSFORD,00560000,5390.2,262.2,5652.4
2011,CHELSEA,00570000,5512.4,334.5,5846.9
2011,"CHESTERFIELD GOSHEN",06320000,169,22.2,191.2
2011,CHICOPEE,00610000,7806.7,233.3,8040
2011,CLARKSBURG,00630000,185.4,71.7,257.1
2011,CLINTON,00640000,1960.1,247.4,2207.5
2011,COHASSET,00650000,1541.4,27.9,1569.3
2011,CONCORD,00670000,1943.7,35.1,1978.8
2011,"CONCORD CARLISLE",06400000,1202.5,44.9,1247.4
2011,CONWAY,00680000,179.3,12.9,192.2
2011,DANVERS,00710000,3644.9,116.6,3761.5
2011,DARTMOUTH,00720000,3948.1,49,3997.1
2011,DEDHAM,00730000,2866.6,95,2961.6
2011,DEERFIELD,00740000,478.2,26.7,504.9
2011,"DENNIS YARMOUTH",06450000,3128.9,495.2,3624.1
2011,"DIGHTON REHOBOTH",06500000,3174,57.5,3231.5
2011,DOUGLAS,00770000,1721.6,54.8,1776.4
2011,DOVER,00780000,552.4,6.1,558.5
2011,"DOVER SHERBORN",06550000,1140.4,36.2,1176.6
2011,DRACUT,00790000,4029.3,137.5,4166.8
2011,"DUDLEY CHARLTON",06580000,4265.2,92.8,4358
2011,DUXBURY,00820000,3173.9,27.6,3201.5
2011,"EAST BRIDGEWATER",00830000,2303,86.1,2389.1
2011,"EAST LONGMEADOW",00870000,2843.5,84.2,2927.7
2011,EASTHAM,00850000,215.6,20.8,236.4
2011,EASTHAMPTON,00860000,1584,309.6,1893.6
2011,EASTON,00880000,3858,64.3,3922.3
2011,EDGARTOWN,00890000,335.2,80.7,415.9
2011,ERVING,00910000,153.8,130.2,284
2011,"ESSEX COUNTY",09130000,476.6,0,476.6
2011,EVERETT,00930000,6105.4,583.8,6689.2
2011,FAIRHAVEN,00940000,2021.5,40.2,2061.7
2011,"FALL RIVER",00950000,9852.9,861.1,10714
2011,FALMOUTH,00960000,3703,141.4,3844.4
2011,"FARMINGTON RIVER",06620000,149.4,151.1,300.5
2011,FITCHBURG,00970000,4865.1,714.3,5579.4
2011,FLORIDA,00980000,111,17.9,128.9
2011,FOXBOROUGH,00990000,2816.4,149.7,2966.1
2011,FRAMINGHAM,01000000,8124.5,473.4,8597.9
2011,FRANKLIN,01010000,6034.9,504.1,6539
2011,"FRANKLIN COUNTY",08180000,492,3.1,495.1
2011,FREETOWN,01020000,559.9,96.3,656.2
2011,"FREETOWN LAKEVILLE",06650000,1914.6,27.9,1942.5
2011,FRONTIER,06700000,685.8,86.9,772.7
2011,GARDNER,01030000,2557,168.7,2725.7
2011,GATEWAY,06720000,1111.1,101.9,1213
2011,GEORGETOWN,01050000,1648,55.3,1703.3
2011,"GILL MONTAGUE",06740000,1062.1,237.1,1299.2
2011,GLOUCESTER,01070000,3190,376.4,3566.4
2011,GRAFTON,01100000,2882.8,91.6,2974.4
2011,GRANBY,01110000,1127.9,48,1175.9
2011,GRANVILLE,01120000,146.8,88.6,235.4
