,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,"Norfolk County Agricultural",09150000,3596336,3894722,-0.08,3894722,-0.08
2012,"North Adams",02090000,18166554,15392111,0.18,17908672,0.01
2012,"North Andover",02110000,46203116,38936234,0.19,39216931,0.18
2012,"North Attleborough",02120000,42013745,39843826,0.05,41339778,0.02
2012,"North Brookfield",02150000,6975296,6001485,0.16,6673173,0.05
2012,"North Middlesex",07350000,38390823,34052825,0.13,35955711,0.07
2012,"North Reading",02170000,28330941,22670247,0.25,24353270,0.16
2012,"North Shore Regional Vocational Technical",08540000,8408209,6657128,0.26,6952527,0.21
2012,Northampton,02100000,30128056,25014295,0.2,26878813,0.12
2012,"Northampton-Smith Vocational Agricultural",04060000,1913342,2070902,-0.08,2676674,-0.28
2012,Northboro-Southboro,07300000,15991098,13569441,0.18,13868511,0.15
2012,Northborough,02130000,22424774,14878106,0.51,15050049,0.49
2012,Northbridge,02140000,24659454,22423099,0.1,22423099,0.1
2012,"Northeast Metropolitan Regional Vocational Technical",08530000,19386729,18846605,0.03,19756164,-0.02
2012,"Northern Berkshire Regional Vocational Technical",08510000,6272277,6032835,0.04,6272322,0
2012,Northfield,02160000,7203,0,0,0," %"
2012,Norton,02180000,28921990,25121296,0.15,26830644,0.08
2012,Norwell,02190000,23749084,19420562,0.22,19753775,0.2
2012,Norwood,02200000,40736080,32665738,0.25,34742915,0.17
2012,"Oak Bluffs",02210000,7464487,3397147,1.2,3576559,1.09
2012,Oakham,02220000,0,0,0,10182,-1
2012,"Old Colony Regional Vocational Technical",08550000,7277143,6636605,0.1,7173180,0.01
2012,"Old Rochester",07400000,14483344,10036210,0.44,10069600,0.44
2012,Orange,02230000,6953461,6427741,0.08,7283594,-0.05
2012,Orleans,02240000,4540345,1548813,1.93,1794048,1.53
2012,Oxford,02260000,19713610,18299262,0.08,18299262,0.08
2012,Palmer,02270000,16483392,15673258,0.05,16909463,-0.03
2012,"Pathfinder Regional Vocational Technical",08600000,9987633,8310204,0.2,8330450,0.2
2012,Peabody,02290000,64258337,59014857,0.09,61407362,0.05
2012,Pelham,02300000,1347680,580669,1.32,696503,0.94
2012,Pembroke,02310000,29883159,29344772,0.02,29848731,0
2012,Pentucket,07450000,29829046,24895122,0.2,27270595,0.09
2012,Peru,02330000,61751,73500,-0.16,113017,-0.45
2012,Petersham,02340000,1088878,656168,0.66,802582,0.36
2012,Phillipston,02350000,158646,0,0,0," %"
2012,"Pioneer Valley",07500000,12153807,8098758,0.5,8640205,0.41
2012,Pittsfield,02360000,69350974,63704269,0.09,63704269,0.09
2012,Plainfield,02370000,89494,61250,0.46,97816,-0.09
2012,Plainville,02380000,8399522,6272346,0.34,6442779,0.3
2012,Plymouth,02390000,93629978,79081949,0.18,79081949,0.18
2012,Plympton,02400000,2843465,1974808,0.44,1983517,0.43
2012,Provincetown,02420000,4474599,1289521,2.47,1689381,1.65
2012,Quabbin,07530000,26335923,22899542,0.15,25444493,0.04
2012,Quaboag,07780000,14644612,13025123,0.12,13025123,0.12
2012,Quincy,02430000,118046958,96661212,0.22,96661212,0.22
2012,"Ralph C Mahar",07550000,9232135,7780312,0.19,8038673,0.15
2012,Randolph,02440000,43101070,31980944,0.35,31980944,0.35
2012,Reading,02460000,42559541,36437713,0.17,36752912,0.16
2012,Rehoboth,02470000,29106,0,0,0," %"
2012,Revere,02480000,71277445,68075146,0.05,69977546,0.02
2012,Richmond,02490000,3092266,1432341,1.16,1960231,0.58
2012,Rochester,02500000,5722904,4206399,0.36,4421293,0.29
2012,Rockland,02510000,26299298,21774162,0.21,21774162,0.21
2012,Rockport,02520000,12512819,7319481,0.71,8421985,0.49
2012,Rowe,02530000,1591686,560186,1.84,568693,1.8
2012,Russell,02560000,171272,207260,-0.17,247598,-0.31
2012,Rutland,02570000,65500,0,0,0," %"
2012,Salem,02580000,58943869,49075890,0.2,49075890,0.2
2012,Sandisfield,02600000,6853,0,0,0," %"
2012,Sandwich,02610000,36535353,28621463,0.28,30428287,0.2
2012,Saugus,02620000,33778965,25149470,0.34,26448639,0.28
2012,Savoy,02630000,1030679,690277,0.49,832579,0.24
2012,Scituate,02640000,33381939,26874930,0.24,27631498,0.21
2012,Seekonk,02650000,22772478,18141474,0.26,18813433,0.21
2012,Sharon,02660000,41679938,29804845,0.4,29804845,0.4
2012,"Shawsheen Valley Regional Vocational Technical",08710000,21028343,18725824,0.12,18725824,0.12
2012,Sheffield,02670000,31968,24500,0.31,37340,-0.14
2012,Shelburne,02680000,14900,12250,0.22,12250,0.22
2012,Sherborn,02690000,5445807,3544555,0.54,3668139,0.49
2012,Shrewsbury,02710000,56347893,51780005,0.09,52203863,0.08
2012,Shutesbury,02720000,2094478,1133133,0.85,1224484,0.71
2012,"Silver Lake",07600000,18633961,17435883,0.07,17435883,0.07
2012,Somerset,02730000,21044754,14571530,0.44,14571530,0.44
2012,"Somerset Berkley",07630000,11636431,9240084,0.26,9240084,0.26
2012,Somerville,02740000,76332273,58313544,0.31,67927592,0.12
2012,"South Hadley",02780000,23055541,18784553,0.23,19356733,0.19
2012,"South Middlesex Regional Vocational Technical",08290000,13864394,10544997,0.32,10544997,0.32
2012,"South Shore Regional Vocational Technical",08730000,9269424,8361233,0.11,8361233,0.11
2012,Southampton,02750000,5143339,4394778,0.17,4977978,0.03
2012,Southborough,02760000,19563915,12100378,0.62,13143550,0.49
2012,Southbridge,02770000,25202522,24396091,0.03,24396091,0.03
2012,"Southeastern Regional Vocational Technical",08720000,19797909,19791640,0,19791640,0
2012,"Southern Berkshire",07650000,12014744,7591122,0.58,8796670,0.37
2012,"Southern Worcester County Regional Vocational Technical",08760000,15626900,15689978,0,15958805,-0.02
2012,Southwick-Tolland-Granville,07660000,15597920,14564947,0.07,15466863,0.01
2012,Spencer,02800000,637479,12250,51.04,12250,51.04
2012,"Spencer-E Brookfield",07670000,20319956,18885409,0.08,19506867,0.04
2012,Springfield,02810000,308217555,309609751,0,310594725,-0.01
2012,Stoneham,02840000,27843298,22408567,0.24,23089410,0.21
2012,Stoughton,02850000,39816658,35682635,0.12,35682635,0.12
2012,Sturbridge,02870000,8902164,6992372,0.27,6992372,0.27
2012,Sudbury,02880000,34111182,24225299,0.41,25318866,0.35
2012,Sunderland,02890000,2335277,1427166,0.64,1933378,0.21
2012,Sutton,02900000,14913672,13280919,0.12,13935140,0.07
2012,Swampscott,02910000,27229841,18506840,0.47,18776258,0.45
2012,Swansea,02920000,20489295,17312134,0.18,17456409,0.17
2012,Tantasqua,07700000,18010931,16224252,0.11,16929398,0.06
