adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,04,01650003,Malden,Beebe,"Special Ed",13,13,,,,,,13,13,,,,,,,,,,,,,100,100,
2009,05,01650003,Malden,Beebe,"All Students",97,91,,1,,,5,95,91,,,,,4,95,91,,,,,4,99,100,100
2009,05,01650003,Malden,Beebe,"Low Income",48,43,,,,,5,46,43,,,,,3,46,43,,,,,3,100,100,100
2009,05,01650003,Malden,Beebe,Black,12,12,,,,,,12,12,,,,,,12,12,,,,,,100,100,100
2009,05,01650003,Malden,Beebe,Asian,25,24,,,,,1,25,24,,,,,1,25,24,,,,,1,100,100,100
2009,05,01650003,Malden,Beebe,Hispanic/Latino,12,10,,,,,2,11,10,,,,,1,11,10,,,,,1,100,100,100
2009,05,01650003,Malden,Beebe,White,45,42,,1,,,2,44,42,,,,,2,44,42,,,,,2,98,100,100
2009,05,01650003,Malden,Beebe,"LEP/Formerly LEP",20,18,,,,,2,19,18,,,,,1,19,18,,,,,1,100,100,100
2009,05,01650003,Malden,Beebe,"Special Ed",23,18,,1,,,4,21,18,,,,,3,21,18,,,,,3,96,100,100
2009,06,01650003,Malden,Beebe,"All Students",107,99,,1,,,7,107,99,,1,,,7,,,,,,,,99,99,
2009,06,01650003,Malden,Beebe,"Low Income",51,46,,1,,,4,51,46,,1,,,4,,,,,,,,98,98,
2009,06,01650003,Malden,Beebe,Black,15,13,,,,,2,15,13,,,,,2,,,,,,,,100,100,
2009,06,01650003,Malden,Beebe,Asian,28,28,,,,,,28,28,,,,,,,,,,,,,100,100,
2009,06,01650003,Malden,Beebe,Hispanic/Latino,10,9,,,,,1,10,9,,,,,1,,,,,,,,100,100,
2009,06,01650003,Malden,Beebe,White,50,46,,,,,4,50,46,,,,,4,,,,,,,,100,100,
2009,06,01650003,Malden,Beebe,"LEP/Formerly LEP",12,12,,,,,,12,12,,,,,,,,,,,,,100,100,
2009,06,01650003,Malden,Beebe,"Special Ed",30,25,,1,,,4,30,25,,1,,,4,,,,,,,,97,97,
2009,07,01650003,Malden,Beebe,"All Students",104,97,,1,,,6,103,96,,,1,,6,,,,,,,,99,99,
2009,07,01650003,Malden,Beebe,"Low Income",62,57,,1,,,4,62,57,,,1,,4,,,,,,,,98,98,
2009,07,01650003,Malden,Beebe,Black,19,19,,,,,,18,17,,,1,,,,,,,,,,100,94,
2009,07,01650003,Malden,Beebe,Asian,27,25,,,,,2,27,25,,,,,2,,,,,,,,100,100,
2009,07,01650003,Malden,Beebe,White,45,42,,1,,,2,45,43,,,,,2,,,,,,,,98,100,
2009,07,01650003,Malden,Beebe,"Special Ed",27,23,,1,,,3,28,24,,,,,4,,,,,,,,96,100,
2009,08,01650003,Malden,Beebe,"All Students",102,97,,1,,,4,103,97,,1,,,5,103,97,,1,,,5,99,99,99
2009,08,01650003,Malden,Beebe,"Low Income",49,45,,1,,,3,49,45,,1,,,3,49,45,,1,,,3,98,98,98
2009,08,01650003,Malden,Beebe,Black,15,14,,,,,1,15,14,,,,,1,15,14,,,,,1,100,100,100
2009,08,01650003,Malden,Beebe,Asian,27,26,,,,,1,27,26,,,,,1,27,26,,,,,1,100,100,100
2009,08,01650003,Malden,Beebe,White,45,43,,1,,,1,45,43,,1,,,1,45,43,,1,,,1,98,98,98
2009,08,01650003,Malden,Beebe,"Special Ed",26,25,,1,,,,26,25,,1,,,,26,25,,1,,,,96,96,96
2009,03,01650013,Malden,Ferryway,"All Students",97,89,,,,,8,96,88,,,,,8,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,"Low Income",56,48,,,,,8,55,47,,,,,8,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,Black,10,8,,,,,2,10,7,,,,,3,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,Asian,26,26,,,,,,26,26,,,,,,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,Hispanic/Latino,28,25,,,,,3,28,25,,,,,3,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,White,29,27,,,,,2,29,27,,,,,2,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,"LEP/Formerly LEP",23,22,,,,,1,23,22,,,,,1,,,,,,,,100,100,
2009,03,01650013,Malden,Ferryway,"Special Ed",10,9,,,,,1,9,,,,,,,,,,,,,,100,,
2009,04,01650013,Malden,Ferryway,"All Students",94,88,,,1,,5,94,89,,,,,5,,,,,,,,99,100,
2009,04,01650013,Malden,Ferryway,"Low Income",66,61,,,,,5,66,61,,,,,5,,,,,,,,100,100,
2009,04,01650013,Malden,Ferryway,Black,13,13,,,,,,13,13,,,,,,,,,,,,,100,100,
2009,04,01650013,Malden,Ferryway,Asian,15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2009,04,01650013,Malden,Ferryway,Hispanic/Latino,31,28,,,,,3,31,28,,,,,3,,,,,,,,100,100,
2009,04,01650013,Malden,Ferryway,White,29,27,,,1,,1,29,28,,,,,1,,,,,,,,97,100,
2009,04,01650013,Malden,Ferryway,"LEP/Formerly LEP",15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2009,05,01650013,Malden,Ferryway,"All Students",87,82,,,,,5,87,82,,,,,5,87,82,,,,,5,100,100,100
2009,05,01650013,Malden,Ferryway,"Low Income",50,46,,,,,4,50,46,,,,,4,50,46,,,,,4,100,100,100
2009,05,01650013,Malden,Ferryway,Black,21,20,,,,,1,21,20,,,,,1,21,20,,,,,1,100,100,100
2009,05,01650013,Malden,Ferryway,Asian,20,20,,,,,,20,20,,,,,,20,20,,,,,,100,100,100
2009,05,01650013,Malden,Ferryway,Hispanic/Latino,19,18,,,,,1,19,18,,,,,1,19,18,,,,,1,100,100,100
2009,05,01650013,Malden,Ferryway,White,21,19,,,,,2,21,19,,,,,2,21,19,,,,,2,100,100,100
2009,05,01650013,Malden,Ferryway,"LEP/Formerly LEP",15,14,,,,,1,15,14,,,,,1,15,14,,,,,1,100,100,100
2009,05,01650013,Malden,Ferryway,"Special Ed",13,13,,,,,,13,13,,,,,,13,13,,,,,,100,100,100
2009,06,01650013,Malden,Ferryway,"All Students",98,92,2,,,,4,97,91,2,,,,4,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,"Low Income",66,60,2,,,,4,65,59,2,,,,4,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,Black,19,19,,,,,,19,19,,,,,,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,Asian,20,20,,,,,,20,20,,,,,,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,Hispanic/Latino,34,32,,,,,2,33,31,,,,,2,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,White,23,20,2,,,,1,23,20,2,,,,1,,,,,,,,100,100,
2009,06,01650013,Malden,Ferryway,"LEP/Formerly LEP",14,14,,,,,,14,14,,,,,,,,,,,,,100,100,
2009,07,01650013,Malden,Ferryway,"All Students",103,86,5,1,,,11,104,85,5,2,,,12,,,,,,,,99,98,
2009,07,01650013,Malden,Ferryway,"Low Income",66,54,3,1,,,8,66,54,3,1,,,8,,,,,,,,98,98,
2009,07,01650013,Malden,Ferryway,Black,16,11,2,,,,3,16,11,2,,,,3,,,,,,,,100,100,
2009,07,01650013,Malden,Ferryway,Asian,29,28,,,,,1,29,27,,1,,,1,,,,,,,,100,97,
