"Grades Offered by District Report",,
"District Code",District,"Grade List"
04120000,"Academy Of the Pacific Rim Charter Public (District)","5,6,7,8,9,10,11,12"
04130000,"Four Rivers Charter Public (District)","7,8,9,10,11,12"
04140000,"Berkshire Arts and Technology Charter Public (District)","6,7,8,9,10,11,12"
04150000,"Amesbury Academy Charter Public (District)","9,10,11,12"
04160000,"Boston Preparatory Charter Public (District)","6,7,8,9,10,11,12"
04170000,"Bridge Boston Charter School (District)","PK,K,1,2"
04180000,"Christa McAuliffe Regional Charter Public (District)","6,7,8"
04190000,"Smith Leadership Academy Charter Public (District)","6,7,8"
04200000,"Benjamin Banneker Charter Public (District)","K,1,2,3,4,5,6"
04240000,"Boston Day and Evening Academy Charter (District)","9,10,11,12"
04260000,"Community Day Charter Public School - Gateway (District)","PK,K,1,2"
04270000,"Barnstable Community Horace Mann Charter Public (District)","K,1,2,3"
04280000,"Brooke Charter School Roslindale (District)","K,1,2,3,4,5,6,7,8"
04290000,"KIPP Academy Lynn Charter (District)","5,6,7,8,9,10,11"
04300000,"Advanced Math and Science Academy Charter (District)","6,7,8,9,10,11,12"
04310000,"Community Day Charter Public School - R. Kingman Webster (District)","PK,K,1,2"
04320000,"Cape Cod Lighthouse Charter (District)","6,7,8"
04350000,"Innovation Academy Charter (District)","5,6,7,8,9,10,11,12"
04360000,"Community Charter School of Cambridge (District)","7,8,9,10,11,12"
04370000,"City On A Hill Charter Public (District)","9,10,11,12"
04380000,"Codman Academy Charter Public (District)","PK,K,9,10,11,12"
04390000,"Conservatory Lab Charter (District)","PK,K,1,2,3,4,5,6,7"
04400000,"Community Day Charter Public School - Prospect (District)","PK,K,1,2,3,4,5,6,7,8"
04410000,"Sabis International Charter (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04430000,"Brooke Charter School Mattapan (District)","K,1,2,3,5,6,7"
04440000,"Neighborhood House Charter (District)","PK,K,1,2,3,4,5,6,7,8"
04450000,"Abby Kelley Foster Charter Public (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04460000,"Foxborough Regional Charter (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04470000,"Benjamin Franklin Classical Charter Public (District)","K,1,2,3,4,5,6,7,8"
04490000,"Boston Collegiate Charter (District)","5,6,7,8,9,10,11,12"
04500000,"Hilltown Cooperative Charter Public (District)","K,1,2,3,4,5,6,7,8"
04520000,"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","9,10,11,12"
04530000,"Holyoke Community Charter (District)","K,1,2,3,4,5,6,7,8"
04540000,"Lawrence Family Development Charter (District)","K,1,2,3,4,5,6,7,8"
04550000,"Hill View Montessori Charter Public (District)","K,1,2,3,4,5,6,7,8"
04560000,"Lowell Community Charter Public (District)","K,1,2,3,4,5,6"
04570000,"Brooke Charter School East Boston (District)","K,1,2,5,6"
04580000,"Lowell Middlesex Academy Charter (District)","9,10,11,12"
04590000,"Excel Academy Charter School - Boston II (District)","5,6"
04610000,"Excel Academy Charter School - Chelsea (District)","5,6,7"
04630000,"KIPP Academy Boston Charter School (District)","5,6"
04640000,"Marblehead Community Charter Public (District)","4,5,6,7,8"
04650000,"MATCH Community Day Charter Public School (District)","PK,K,1,2,3,4"
04660000,"Martha's Vineyard Charter (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04670000,"Salem Community Charter School (District)","9,10,11,12"
04680000,"Ma Academy for Math and Science","11,12"
04690000,"MATCH Charter Public School (District)","6,7,8,9,10,11,12"
04700000,"Mystic Valley Regional Charter (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04740000,"North Central Charter Essential (District)","7,8,9,10,11,12"
04750000,"Dorchester Collegiate Academy Charter (District)","4,5,6,7,8"
04760000,"Spirit of Knowledge Charter School (District)","7,8,9,10,11,12"
04770000,"Silver Hill Horace Mann Charter (District)","K,1,2,3,4,5"
04780000,"Francis W. Parker Charter Essential (District)","7,8,9,10,11,12"
04790000,"Pioneer Valley Performing Arts Charter Public (District)","7,8,9,10,11,12"
04800000,"UP Academy Charter School of Boston (District)","6,7,8"
04810000,"Boston Renaissance Charter Public (District)","PK,K,1,2,3,4,5,6"
04820000,"River Valley Charter (District)","K,1,2,3,4,5,6,7,8"
04830000,"Rising Tide Charter Public (District)","5,6,7,8,9,10,11"
04840000,"Roxbury Preparatory Charter (District)","5,6,7,8"
04850000,"Salem Academy Charter (District)","6,7,8,9,10,11,12"
04860000,"Seven Hills Charter Public (District)","K,1,2,3,4,5,6,7,8"
04870000,"Prospect Hill Academy Charter (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04880000,"South Shore Charter Public (District)","K,1,2,3,4,5,6,7,8,9,10,11,12"
04890000,"Sturgis Charter Public (District)","9,10,11,12"
04910000,"Atlantis Charter (District)","K,1,2,3,4,5,6,7,8"
04920000,"Martin Luther King Jr. Charter School of Excellence (District)","K,1,2,3,4,5"
04930000,"Phoenix Charter Academy (District)","9,10,11,12"
