FY_CODE	ORG_CODE	SPA_GENR_EDU_CNT	SPA_SPED_CNT	SPA_CAREER_VOC_CNT	SPA_ENG_LNR_CNT	SPA_TOTAL	SPA_GENR_EDU_PCT	SPA_SPED_PCT	SPA_CAREER_VOC_PCT	SPA_ENG_LNR_PCT	SPA_TOTAL_PCT
2008	00170015	15.6	3	0	0	18.6	83.9	16.1	0	0	100
2008	00170025	15	2	0	0	17	88.3	11.7	0	0	100
2008	00170305	37.5	6	0	0	43.5	86.2	13.8	0	0	100
2008	00170505	47	5	0	0	52	90.4	9.6	0	0	100
2008	00180000	50.2	10.8	0	0	61	82.3	17.7	0	0	100
2008	00180010	24.4	6	0	0	30.4	80.3	19.7	0	0	100
2008	00180510	25.8	4.8	0	0	30.6	84.3	15.7	0	0	100
2008	00190000	79.7	13	0	1	93.7	85.1	13.9	0	1.1	100
2008	00190025	34	8	0	.3	42.3	80.3	18.9	0	.8	100
2008	00190305	15	4	0	.3	19.3	77.6	20.7	0	1.7	100
2008	00190510	30.7	1	0	.3	32	95.9	3.1	0	1	100
2008	00200000	317.2	29.9	0	4.8	351.8	90.2	8.5	0	1.4	100
2008	00200004	5	0	0	0	5	100	0	0	0	100
2008	00200005	16.8	1	0	0	17.8	94.4	5.6	0	0	100
2008	00200010	19.5	5.4	0	.8	25.7	75.9	21	0	3.1	100
2008	00200015	7.5	1	0	0	8.5	88.2	11.8	0	0	100
2008	00200020	24.2	2	0	1	27.2	89	7.4	0	3.7	100
2008	00200025	25.4	3	0	1	29.4	86.4	10.2	0	3.4	100
2008	00200030	9.6	1	0	0	10.6	90.5	9.5	0	0	100
2008	00200035	9.1	1.5	0	0	10.6	85.8	14.2	0	0	100
2008	00200040	7.4	.5	0	0	7.9	93.7	6.3	0	0	100
2008	00200305	62.8	10.7	0	1	74.4	84.3	14.3	0	1.3	100
2008	00200505	127.5	3.8	0	1	132.3	96.4	2.9	0	.8	100
2008	00230000	161	31.4	0	0	192.4	83.7	16.3	0	0	100
2008	00230010	25.7	7.3	0	0	33	77.9	22.1	0	0	100
2008	00230012	31.1	9	0	0	40.1	77.6	22.4	0	0	100
2008	00230305	42	9.4	0	0	51.4	81.7	18.3	0	0	100
2008	00230505	62.2	5.7	0	0	67.9	91.6	8.4	0	0	100
2008	00240000	134.6	33	0	0	167.6	80.3	19.7	0	0	100
2008	00240005	8.5	4	0	0	12.5	68	32	0	0	100
2008	00240006	32.6	9	0	0	41.6	78.4	21.6	0	0	100
2008	00240018	32	6	0	0	38	84.2	15.8	0	0	100
2008	00240025	23.4	7.9	0	0	31.3	74.6	25.4	0	0	100
2008	00240505	38.1	6	0	0	44.2	86.4	13.6	0	0	100
2008	00250000	167.8	12	0	0	179.8	93.3	6.7	0	0	100
2008	00250003	4.5	1	0	0	5.5	81.8	18.2	0	0	100
2008	00250009	19.4	1	0	0	20.4	95.1	4.9	0	0	100
2008	00250020	27.6	0	0	0	27.6	100	0	0	0	100
2008	00250025	15.9	1	0	0	16.9	94.1	5.9	0	0	100
2008	00250315	53.2	7	0	0	60.2	88.4	11.6	0	0	100
2008	00250505	41.2	2	0	0	43.2	95.4	4.6	0	0	100
2008	00250510	6	0	0	0	6	100	0	0	0	100
2008	00260000	217.4	20.3	0	1	238.7	91.1	8.5	0	.4	100
2008	00260005	23.1	3.5	0	0	26.6	86.8	13.2	0	0	100
2008	00260010	15.4	1.2	0	0	16.6	92.8	7.2	0	0	100
2008	00260015	19.7	.5	0	0	20.2	97.5	2.5	0	0	100
2008	00260035	25	3	0	0	28	89.3	10.7	0	0	100
2008	00260305	67.3	6.9	0	1	75.2	89.4	9.2	0	1.3	100
2008	00260505	66.9	5.2	0	0	72.1	92.8	7.2	0	0	100
2008	00270000	56.5	9	0	0	65.5	86.2	13.8	0	0	100
2008	00270010	29.8	4	0	0	33.8	88.2	11.8	0	0	100
2008	00270305	26.8	5	0	0	31.8	84.2	15.8	0	0	100
2008	00280000	13.7	3	0	.5	17.2	79.7	17.4	0	2.9	100
2008	00280005	13.7	3	0	.5	17.2	79.7	17.4	0	2.9	100
2008	00300000	264.2	42.9	0	3	310.1	85.2	13.8	0	1	100
