FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00350000,00350405,"Umana/Barnes Middle",57,71.75,51,78.24,14.2
2004,00350000,00350410,"Martin Luther King Jr Mid",23,71.74,21,83.33,18.7
2004,00350000,00350413,"Boston Middle School Academy",0,0,0,0,0
2004,00350000,00350415,"Grover Cleveland",49.5,74.75,36,80.56,12.6
2004,00350000,00350420,"Mary E Curley Middle",38,81.58,32,87.5,18.4
2004,00350000,00350425,"Thomas A Edison Jr High",43.1,83.76,39.1,89.77,15.2
2004,00350000,00350426,"Harbor School",11.7,74.36,8.7,77.01,22.4
2004,00350000,00350430,"Clarence R Edwards Middle",34,82.35,30,90,14
2004,00350000,00350435,"Patrick F Gavin Middle",46.6,72.1,42.6,78.87,14
2004,00350000,00350445,"Washington Irving Middle",46,93.48,38,94.74,17.8
2004,00350000,00350450,"Solomon Lewenberg Middle",32,81.25,28,85.71,15.8
2004,00350000,00350455,"Lewis Middle School",21,85.71,18,88.89,15.8
2004,00350000,00350470,"Wm B Rogers Middle",41,85.37,37,94.59,15.8
2004,00350000,00350480,"William H Taft Middle",9,55.56,6,66.67,15
2004,00350000,00350485,"James P Timilty Middle",46,78.48,41,88.05,14.9
2004,00350000,00350490,"Woodrow Wilson Middle",35,68.57,31,71.94,16.6
2004,00350000,00350502,"Academy of Public Service",19,84.21,19,84.21,15.9
2004,00350000,00350505,"Brighton High",64.5,70.54,54.5,79.82,19.8
2004,00350000,00350507,"Boston International  High School",0,0,0,0,0
2004,00350000,00350515,"Charlestown High",58.4,85.62,55.4,90.97,21.5
2004,00350000,00350518,"Community Academy",2,100,2,100,10.5
2004,00350000,00350522,"Excel High School",22,81.82,19,84.21,18.5
2004,00350000,00350524,"Economics and Business Academy",22,77.27,22,81.82,16.6
2004,00350000,00350525,"Jeremiah E Burke High",42,73.81,37,78.38,20.5
